Date,Open,High,Low,Close,Adj Close,Volume
2009-05-01,null,null,null,null,null,null
2009-06-01,50.180000,51.750000,48.020000,48.439999,37.753647,417698500
2009-07-01,48.549999,50.430000,47.349998,49.880001,38.875965,369068900
2009-08-01,50.220001,52.560001,48.750000,50.869999,39.647549,344252000
2009-09-01,50.810001,52.099998,48.730000,49.090000,38.469738,375673300
2009-10-01,49.070000,52.000000,48.730000,49.680000,38.932087,374017800
2009-11-01,49.810001,55.090000,49.520000,54.549999,42.748508,306009700
2009-12-01,54.849998,55.080002,52.310001,53.450001,41.886497,264681300
2010-01-01,53.740002,55.200001,52.509998,53.430000,42.081577,291591500
2010-02-01,53.619999,54.500000,52.660000,54.070000,42.585636,278505000
2010-03-01,54.040001,56.270000,53.150002,55.599998,43.790668,270764400
2010-04-01,55.750000,55.900002,53.520000,53.639999,42.484692,282951100
2010-05-01,53.880001,54.950001,50.000000,50.560001,40.045231,398119000
2010-06-01,50.799999,52.080002,48.009998,48.070000,38.293880,390548500
2010-07-01,48.099998,51.810001,47.770000,51.189999,40.779358,280340800
2010-08-01,51.549999,52.480000,50.000000,50.139999,39.942894,272559100
2010-09-01,50.490002,54.389999,50.459999,53.520000,42.883923,216284000
2010-10-01,53.599998,54.820000,52.930000,54.169998,43.404747,208445100
2010-11-01,54.049999,55.720001,53.430000,54.090000,43.340633,241802400
2010-12-01,54.419998,55.340000,53.139999,53.930000,43.212448,246182100
2011-01-01,54.230000,57.900002,53.540001,56.070000,45.175205,260656500
2011-02-01,56.369999,56.730000,51.520000,51.980000,41.879921,276839200
2011-03-01,52.160000,53.880001,50.970001,52.049999,41.936321,279247300
2011-04-01,52.250000,55.160000,51.919998,54.980000,44.607491,177992800
2011-05-01,55.080002,56.470001,54.189999,55.220001,44.802208,195699000
2011-06-01,54.980000,55.169998,51.790001,53.139999,43.399899,282564700
2011-07-01,53.189999,54.810001,52.669998,52.709999,43.048706,198103900
2011-08-01,52.790001,53.490002,48.310001,53.189999,43.440723,424527100
2011-09-01,53.200001,53.549999,49.939999,51.900002,42.693825,275866100
2011-10-01,51.880001,57.959999,51.630001,56.720001,46.658821,268820500
2011-11-01,55.820000,59.400002,55.680000,58.900002,48.452137,222113300
2011-12-01,58.639999,60.000000,57.419998,59.759998,49.159588,193606900
2012-01-01,59.970001,62.000000,58.369999,61.360001,50.791164,163577000
2012-02-01,61.790001,62.630001,58.209999,59.080002,48.903870,199314500
2012-03-01,59.360001,61.500000,58.639999,61.200001,50.658726,185822200
2012-04-01,61.080002,62.490002,57.180000,58.910000,49.089134,251787900
2012-05-01,58.950001,66.660004,58.270000,65.820000,54.847164,247098000
2012-06-01,65.430000,69.720001,65.129997,69.720001,58.490726,229264800
2012-07-01,69.599998,75.239998,69.150002,74.430000,62.442135,210686500
2012-08-01,74.699997,74.959999,71.349998,72.599998,60.906876,163618500
2012-09-01,72.769997,75.190002,72.570000,73.800003,62.248013,121605000
2012-10-01,73.800003,77.599998,73.629997,75.019997,63.277035,144858200
2012-11-01,75.129997,75.160004,67.650002,72.019997,60.746635,193687500
2012-12-01,72.110001,72.699997,67.370003,68.230003,57.549904,198433700
2013-01-01,68.930000,70.440002,67.720001,69.949997,59.327675,152007900
2013-02-01,70.110001,71.959999,68.129997,70.779999,60.031597,205455800
2013-03-01,70.779999,75.110001,70.779999,74.830002,63.466595,151456500
2013-04-01,75.000000,79.500000,74.900002,77.720001,66.343002,165085800
2013-05-01,77.849998,79.959999,74.820000,74.839996,63.884586,162295100
2013-06-01,75.059998,76.870003,72.900002,74.489998,63.967216,162608600
2013-07-01,74.989998,78.690002,74.089996,77.940002,66.929848,113025400
2013-08-01,78.419998,79.000000,72.230003,72.980003,62.670540,133848900
2013-09-01,73.480003,76.730003,72.190002,73.959999,63.897766,124109700
2013-10-01,73.870003,77.629997,71.510002,76.750000,66.308167,150995900
2013-11-01,76.970001,81.349998,76.589996,81.010002,69.988586,113143600
2013-12-01,80.889999,81.370003,76.809998,78.690002,67.984245,117743800
2014-01-01,78.720001,79.470001,73.639999,74.680000,64.895386,146048800
2014-02-01,74.190002,75.989998,72.269997,74.699997,64.912766,140708800
2014-03-01,74.489998,77.529999,73.830002,76.430000,66.416077,143316900
2014-04-01,76.760002,79.989998,76.290001,79.709999,69.713226,133598600
2014-05-01,79.730003,79.760002,75.239998,76.769997,67.141937,121597900
2014-06-01,76.580002,77.760002,74.669998,75.070000,66.061630,125875700
2014-07-01,75.269997,77.570000,73.540001,73.580002,64.750420,120165500
2014-08-01,73.320000,76.199997,72.769997,75.500000,66.440025,114715100
2014-09-01,75.419998,77.730003,75.410004,76.470001,67.736938,120321400
2014-10-01,76.510002,79.370003,72.610001,76.269997,67.559784,177386600
2014-11-01,76.349998,88.089996,75.589996,87.540001,77.542740,159253200
2014-12-01,86.720001,87.440002,82.650002,85.879997,76.072296,138945800
2015-01-01,86.269997,90.970001,84.900002,84.980003,75.695625,158641500
2015-02-01,84.790001,88.000000,82.550003,83.930000,74.760345,138302700
2015-03-01,83.930000,84.000000,80.540001,82.250000,73.263878,140925000
2015-04-01,82.279999,82.279999,77.550003,78.050003,69.940346,143546400
2015-05-01,78.199997,79.940002,74.150002,74.269997,66.553085,150969800
2015-06-01,74.690002,75.199997,70.779999,70.930000,63.961258,176488600
2015-07-01,71.599998,74.139999,70.360001,71.980003,64.908112,150420400
2015-08-01,71.839996,73.690002,61.500000,64.730003,58.370419,227136600
2015-09-01,63.799999,67.010002,62.919998,64.839996,58.868843,190530900
2015-10-01,64.760002,67.949997,57.160000,57.240002,51.968731,346727100
2015-11-01,57.290001,61.470001,56.299999,58.840000,53.421394,224621800
2015-12-01,59.130001,61.869999,58.320000,61.299999,55.654842,226802600
2016-01-01,60.500000,66.529999,60.200001,66.360001,60.753510,264381000
2016-02-01,65.910004,68.199997,62.349998,66.339996,60.735203,262453800
2016-03-01,66.650002,69.190002,64.879997,68.489998,62.703564,202475600
2016-04-01,68.019997,70.080002,66.360001,66.870003,61.673649,141132900
2016-05-01,66.620003,71.379997,62.720001,70.779999,65.279800,232879900
2016-06-01,70.500000,73.190002,70.150002,73.019997,67.838814,185897000
2016-07-01,73.129997,74.349998,72.419998,72.970001,67.792374,137700800
2016-08-01,72.809998,75.190002,70.889999,71.440002,66.370934,212358400
2016-09-01,71.570000,73.190002,70.300003,72.120003,67.461357,176953900
2016-10-01,71.830002,72.570000,67.070000,70.019997,65.496986,170641400
2016-11-01,69.980003,72.089996,68.120003,70.430000,65.880516,210244500
2016-12-01,70.250000,72.480003,68.830002,69.120003,64.655151,162308500
2017-01-01,69.239998,69.629997,65.279999,66.739998,62.875694,181776100
2017-02-01,66.459999,72.800003,66.040001,70.930000,66.823090,207841500
2017-03-01,70.970001,72.559998,69.330002,72.080002,67.906502,191103100
2017-04-01,72.080002,75.769997,71.379997,75.180000,71.347786,127414200
2017-05-01,75.089996,79.440002,74.959999,78.599998,74.593475,182345800
2017-06-01,78.639999,80.470001,73.290001,75.680000,72.302948,247495300
2017-07-01,75.839996,80.339996,73.129997,79.989998,76.420616,143448100
2017-08-01,80.250000,81.989998,77.500000,78.070000,74.586296,203621200
2017-09-01,78.309998,81.120003,77.730003,78.139999,75.122742,161153600
2017-10-01,77.900002,89.110001,77.500000,87.309998,83.938660,198775100
2017-11-01,87.070000,100.129997,87.000000,97.230003,93.475609,222550300
2017-12-01,97.610001,99.910004,96.139999,98.750000,94.936920,166774100
2018-01-01,99.300003,109.980003,98.519997,106.599998,103.023911,169623300
2018-02-01,105.959999,106.559998,90.000000,90.010002,86.990463,307532700
2018-03-01,90.169998,90.500000,85.279999,88.970001,85.985352,256003000
2018-04-01,88.000000,89.660004,84.839996,88.459999,86.002151,163581800
2018-05-01,87.669998,88.099998,81.779999,82.540001,80.246643,248315100
2018-06-01,83.040001,87.489998,82.370003,85.650002,83.794838,185619400
2018-07-01,85.650002,89.660004,83.400002,89.230003,87.297295,117596900
2018-08-01,88.860001,100.209999,87.620003,95.860001,93.783676,205657200
2018-09-01,95.800003,97.660004,93.690002,93.910004,92.409546,127212500
2018-10-01,94.290001,102.599998,92.889999,100.279999,98.677765,216421000
2018-11-01,99.959999,106.209999,93.309998,97.650002,96.089790,191936600
2018-12-01,98.019997,99.589996,85.779999,93.150002,91.661690,186311800
2019-01-01,91.639999,99.349998,91.639999,95.830002,94.813461,160729100
2019-02-01,95.919998,104.180000,93.110001,98.989998,97.939934,166799500
2019-03-01,99.470001,100.489998,95.000000,97.529999,96.495430,141037000
2019-04-01,97.970001,104.150002,96.790001,102.839996,102.296577,110606900
2019-05-01,102.769997,103.959999,98.849998,101.120003,100.585670,109746700
